hk_code,a_code,name,status,is_red_chip,source,first_seen
00038,601038,一拖股份,active,false,hkex,2026-04-16
00042,000585,东北电气,delisted,false,hkex,2026-04-16
00107,601107,四川成渝,active,false,hkex,2026-04-16
00168,600600,青岛啤酒,active,false,hkex,2026-04-16
00177,600377,宁沪高速,active,false,hkex,2026-04-16
00187,600860,京城股份,active,false,hkex,2026-04-16
00300,000333,美的集团,active,false,hkex,2026-04-16
00317,600685,中船防务,active,false,hkex,2026-04-16
00323,600808,马钢股份,active,false,hkex,2026-04-16
00338,600688,上海石化,active,false,hkex,2026-04-16
00347,000898,鞍钢股份,active,false,hkex,2026-04-16
00358,600362,江西铜业股份,active,false,hkex,2026-04-16
00386,600028,中国石化,active,false,hkex,2026-04-16
00390,601390,中国中铁,active,false,hkex,2026-04-16
00470,300450,先导智能,active,false,hkex,2026-04-16
00501,603501,豪威集团,active,false,hkex,2026-04-16
00525,601333,广深铁路,active,false,hkex,2026-04-16
00548,600548,深高速,active,false,hkex,2026-04-16
00553,600775,南京熊猫,active,false,hkex,2026-04-16
00564,601717,郑煤机,active,false,hkex,2026-04-16
00568,002490,山东墨龙,active,false,hkex,2026-04-16
00588,601588,北辰实业,active,false,hkex,2026-04-16
00598,601598,中国外运,active,false,hkex,2026-04-16
00638,300638,广和通,active,false,hkex,2026-04-16
00670,600115,中国东航,active,false,hkex,2026-04-16
00699,600699,均胜电子,active,false,hkex,2026-04-16
00719,000756,新华制药,active,false,hkex,2026-04-16
00728,601728,中国电信,active,false,hkex,2026-04-16
00753,601111,中国国航,active,false,hkex,2026-04-16
00763,000063,中兴通讯,active,false,hkex,2026-04-16
00811,601811,新华文轩,active,false,hkex,2026-04-16
00857,601857,中国石油,active,false,hkex,2026-04-16
00874,600332,白云山,active,false,hkex,2026-04-16
00883,600938,中国海油,active,true,manual,2026-04-16
00895,002672,东江环保,active,false,hkex,2026-04-16
00902,600011,华能国际,active,false,hkex,2026-04-16
00914,600585,海螺水泥,active,false,hkex,2026-04-16
00916,001289,龙源电力,active,false,hkex,2026-04-16
00921,000921,海信家电,active,false,hkex,2026-04-16
00939,601939,建设银行,active,false,hkex,2026-04-16
00941,600941,中国移动,active,true,manual,2026-04-16
00956,600956,新天绿能,active,false,hkex,2026-04-16
00981,688981,中芯国际,active,true,manual,2026-04-16
00991,601991,大唐发电,active,false,hkex,2026-04-16
00995,600012,皖通高速,active,false,hkex,2026-04-16
00998,601998,中信银行,active,false,hkex,2026-04-16
01033,600871,石化油服,active,false,hkex,2026-04-16
01053,601005,重庆钢铁,active,false,hkex,2026-04-16
01055,600029,南方航空,active,false,hkex,2026-04-16
01057,002703,浙江世宝,active,false,hkex,2026-04-16
01065,600874,创业环保,active,false,hkex,2026-04-16
01071,600027,华电国际,active,false,hkex,2026-04-16
01072,600875,东方电气,active,false,hkex,2026-04-16
01088,601088,中国神华,active,false,hkex,2026-04-16
01108,600876,凯盛新能,active,false,hkex,2026-04-16
01138,600026,中远海能,active,false,hkex,2026-04-16
01157,000157,中联重科,active,false,hkex,2026-04-16
01171,600188,兖矿能源,active,false,hkex,2026-04-16
01186,601186,中国铁建,active,false,hkex,2026-04-16
01211,002594,比亚迪,active,false,hkex,2026-04-16
01276,600276,恒瑞医药,active,false,hkex,2026-04-16
01288,601288,农业银行,active,false,hkex,2026-04-16
01304,688279,峰岹科技,active,false,hkex,2026-04-16
01330,601330,绿色动力,active,false,hkex,2026-04-16
01336,601336,新华保险,active,false,hkex,2026-04-16
01339,601319,中国人保,active,false,hkex,2026-04-16
01347,688347,华虹公司,active,true,manual,2026-04-16
01349,688505,复旦张江,active,false,hkex,2026-04-16
01375,601375,中原证券,active,false,hkex,2026-04-16
01385,688385,复旦微电,active,false,hkex,2026-04-16
01398,601398,工商银行,active,false,hkex,2026-04-16
01456,601456,国联证券,active,false,hkex,2026-04-16
01513,000513,丽珠集团,active,false,hkex,2026-04-16
01528,601828,美凯龙,active,false,hkex,2026-04-16
01618,601618,中国中冶,active,false,hkex,2026-04-16
01635,600635,大众公用,active,false,hkex,2026-04-16
01658,601658,邮储银行,active,false,hkex,2026-04-16
01766,601766,中国中车,active,false,hkex,2026-04-16
01772,002460,赣锋锂业,active,false,hkex,2026-04-16
01776,000776,广发证券,active,false,hkex,2026-04-16
01787,600547,山东黄金,active,false,hkex,2026-04-16
01800,601800,中国交建,active,false,hkex,2026-04-16
01812,000488,晨鸣纸业,active,false,hkex,2026-04-16
01816,003816,中广核电力,active,false,hkex,2026-04-16
01858,688236,春立医疗,active,false,hkex,2026-04-16
01877,688180,君实生物,active,false,hkex,2026-04-16
01880,601888,中国中免,active,false,hkex,2026-04-16
01898,601898,中煤能源,active,false,hkex,2026-04-16
01919,601919,中远海控,active,false,hkex,2026-04-16
01963,601963,重庆银行,active,false,hkex,2026-04-16
01988,600016,民生银行,active,false,hkex,2026-04-16
01989,001389,广合科技,active,false,hkex,2026-04-16
02009,601992,金隅集团,active,false,hkex,2026-04-16
02016,601916,浙商银行,active,false,hkex,2026-04-16
02039,000039,中集集团,active,false,hkex,2026-04-16
02050,002050,三花智控,active,false,hkex,2026-04-16
02068,601068,中铝国际,active,false,hkex,2026-04-16
02196,600196,复星医药,active,false,hkex,2026-04-16
02202,000002,万科A,active,false,hkex,2026-04-16
02208,002202,金风科技,active,false,hkex,2026-04-16
02218,605198,安德利,active,false,hkex,2026-04-16
02238,601238,广汽集团,active,false,hkex,2026-04-16
02315,688796,百奥赛图,active,false,hkex,2026-04-16
02318,601318,中国平安,active,false,hkex,2026-04-16
02333,601633,长城汽车,active,false,hkex,2026-04-16
02338,000338,潍柴动力,active,false,hkex,2026-04-16
02359,603259,药明康德,active,false,hkex,2026-04-16
02402,688339,亿华通,active,false,hkex,2026-04-16
02465,603906,龙蟠科技,active,false,hkex,2026-04-16
02579,300919,中伟股份,active,false,hkex,2026-04-16
02600,601600,中国铝业,active,false,hkex,2026-04-16
02601,601601,中国太保,active,false,hkex,2026-04-16
02603,002803,吉宏股份,active,false,hkex,2026-04-16
02607,601607,上海医药,active,false,hkex,2026-04-16
02611,601211,国泰海通,active,false,hkex,2026-04-16
02628,601628,中国人寿,active,false,hkex,2026-04-16
02631,688234,天岳先进,active,false,hkex,2026-04-16
02648,603345,安井食品,active,false,hkex,2026-04-16
02676,688052,纳芯微,active,false,hkex,2026-04-16
02691,603093,南华期货股份,active,false,hkex,2026-04-16
02692,003021,兆威机电,active,false,hkex,2026-04-16
02701,300077,国民技术,active,false,hkex,2026-04-16
02714,002714,牧原股份,active,false,hkex,2026-04-16
02715,002747,埃斯顿,active,false,hkex,2026-04-16
02727,601727,上海电气,active,false,hkex,2026-04-16
02768,002768,国恩科技,active,false,hkex,2026-04-16
02865,002865,钧达股份,active,false,hkex,2026-04-16
02866,601866,中远海发,active,false,hkex,2026-04-16
02880,601880,辽港股份,active,false,hkex,2026-04-16
02883,601808,中海油服,active,false,hkex,2026-04-16
02899,601899,紫金矿业,active,false,hkex,2026-04-16
03200,301200,大族数控,active,false,hkex,2026-04-16
03268,002881,美格智能,active,false,hkex,2026-04-16
03288,603288,海天味业,active,false,hkex,2026-04-16
03328,601328,交通银行,active,false,hkex,2026-04-16
03347,300347,泰格医药,active,false,hkex,2026-04-16
03369,601326,秦港股份,active,false,hkex,2026-04-16
03606,600660,福耀玻璃,active,false,hkex,2026-04-16
03618,601077,渝农商行,active,false,hkex,2026-04-16
03678,001236,弘业期货,active,false,hkex,2026-04-16
03750,300750,宁德时代,active,false,hkex,2026-04-16
03759,300759,康龙化成,active,false,hkex,2026-04-16
03866,002948,青岛银行,active,false,hkex,2026-04-16
03898,688187,时代电气,active,false,hkex,2026-04-16
03908,601995,中金公司,active,false,hkex,2026-04-16
03958,600958,东方证券,active,false,hkex,2026-04-16
03968,600036,招商银行,active,false,hkex,2026-04-16
03969,688009,中国通号,active,false,hkex,2026-04-16
03986,603986,兆易创新,active,false,hkex,2026-04-16
03988,601988,中国银行,active,false,hkex,2026-04-16
03993,603993,洛阳钼业,active,false,hkex,2026-04-16
03996,601868,中国能建,active,false,hkex,2026-04-16
06030,600030,中信证券,active,false,hkex,2026-04-16
06031,600031,三一重工,active,false,hkex,2026-04-16
06066,601066,中信建投,active,false,hkex,2026-04-16
06099,600999,招商证券,active,false,hkex,2026-04-16
06127,603127,昭衍新药,active,false,hkex,2026-04-16
06160,688235,百济神州,active,true,manual,2026-04-16
06166,603083,剑桥科技,active,false,hkex,2026-04-16
06178,601788,光大证券,active,false,hkex,2026-04-16
06185,688185,康希诺,active,false,hkex,2026-04-16
06196,002936,郑州银行,active,false,hkex,2026-04-16
06198,601298,青岛港,active,false,hkex,2026-04-16
06613,300433,蓝思科技,active,false,hkex,2026-04-16
06655,600801,华新水泥,active,false,hkex,2026-04-16
06680,300748,金力永磁,active,false,hkex,2026-04-16
06690,600690,海尔智家,active,false,hkex,2026-04-16
06693,600988,赤峰黄金,active,false,hkex,2026-04-16
06806,000166,申万宏源,active,false,hkex,2026-04-16
06809,688008,澜起科技,active,false,hkex,2026-04-16
06818,601818,光大银行,active,false,hkex,2026-04-16
06821,002821,凯莱英,active,false,hkex,2026-04-16
06826,688366,昊海生科,active,false,hkex,2026-04-16
06865,601865,福莱特,active,false,hkex,2026-04-16
06869,601869,长飞光纤,active,false,hkex,2026-04-16
06881,601881,中国银河,active,false,hkex,2026-04-16
06886,601688,华泰证券,active,false,hkex,2026-04-16
06936,002352,顺丰控股,active,false,hkex,2026-04-16
09611,603341,龙旗科技,active,false,hkex,2026-04-16
09696,002466,天齐锂业,active,false,hkex,2026-04-16
09927,601127,赛力斯,active,false,hkex,2026-04-16
09969,688428,诺诚健华,active,false,hkex,2026-04-16
09980,605499,东鹏饮料,active,false,hkex,2026-04-16
09981,002130,沃尔核材,active,false,hkex,2026-04-16
09989,002399,海普瑞,active,false,hkex,2026-04-16
09995,688331,荣昌生物,active,false,hkex,2026-04-16
